Table 1
age,gender,country,daily_usage_hours,primary_platform,num_platforms_used,purpose,avg_session_minutes,night_usage,mental_health_score,addiction_level,screen_time_before_sleep
19,Male,Australia,2.658617259089740,Snapchat,4,Education,29.222442976309400,0,6.705829998710910,Medium,15.779443468753900
16,Female,USA,5.685386777637290,Twitter,3,Socializing,32.46472622337380,1,6.63311126321641,High,47.71486422270660
25,Female,India,2.7824200376895700,TikTok,2,Socializing,18.17020404442120,1,6.035396589384120,Medium,62.52462541000860
27,Male,India,3.486597750260480,YouTube,4,Education,22.493803869293300,1,8.11086142423603,Medium,31.935101511169600
23,Female,India,3.7488287467611200,TikTok,1,Entertainment,27.358409591039600,1,6.658597683546670,Medium,29.466045545703400
20,Other,Brazil,2.932247516535150,TikTok,1,Entertainment,37.43427433630500,1,7.138047674237250,Medium,55.17785252367730
25,Male,Germany,5.241584406479310,TikTok,1,Entertainment,31.179369339848000,1,6.515973661637340,High,71.66731968734150
17,Female,India,2.241011821136280,YouTube,1,News,21.715560716339300,0,9.314943946605540,Low,12.337113032649900
19,Female,Brazil,2.782066524448540,Twitter,2,Socializing,27.580313697843400,1,6.3014663666376300,Medium,43.306035175728800
22,Male,Canada,3.5906796927125600,Instagram,1,Education,5.0,0,6.6821496050500500,Medium,42.878576149086000
15,Female,USA,1.7372955329215300,Twitter,2,Entertainment,7.056339404684090,1,8.164422854875770,Low,30.651728563463500
19,Male,India,3.2991717675064500,YouTube,2,Education,5.0,1,7.908754583803620,Medium,8.577942283519260
23,Female,USA,6.207281178969130,Instagram,1,Socializing,11.246668971505500,1,5.63653519165884,High,53.82388680985400
23,Female,Australia,3.7383870779786200,TikTok,1,News,24.209599128080500,1,6.306261011032150,Medium,43.97591485665660
20,Male,India,5.160911280415380,Instagram,5,Education,20.28738207744470,1,4.560262758606700,High,7.184319219785900
17,Male,UK,4.372430113098950,YouTube,1,Entertainment,28.614741820738400,0,7.235105367574310,Medium,0.0
16,Male,Australia,5.332597814771950,TikTok,1,Entertainment,13.045611931797100,1,6.107393293819020,High,49.829796830963500
20,Male,USA,3.732022754361390,Twitter,3,Socializing,20.435205719553500,1,6.312866658829520,Medium,0.18799460772685700
20,Male,USA,3.900738473891270,Snapchat,2,Entertainment,14.397866845493800,1,8.591728859251990,Medium,15.467184396017800
15,Female,USA,4.887226431646690,Instagram,2,Education,31.862099283264900,1,6.478297083229010,Medium,21.905496238035500
18,Female,Australia,2.5006475019753500,YouTube,3,Entertainment,29.221928576339100,0,8.999890524829050,Medium,39.64021776945000
17,Male,UK,5.119454724293840,YouTube,1,Entertainment,14.770323811877200,1,6.189125630353630,High,49.5952366149381
14,Male,Canada,3.691514848233850,Snapchat,4,Entertainment,21.371039539983000,0,6.255301701078730,Medium,24.057061093096100
20,Male,India,1.9406671887690200,Instagram,5,Education,11.65798010718600,1,7.52089998336156,Low,53.68192562860890
24,Male,USA,2.6673992593752300,YouTube,5,Socializing,38.04565719538370,1,6.736906600098970,Medium,22.90870921537250
26,Male,Australia,5.595739245377890,Instagram,3,Entertainment,40.18771720556960,1,4.334976953244650,High,52.90928171221600
18,Male,Brazil,1.2030820689472900,Instagram,4,Entertainment,37.30035340119190,0,8.929309498385250,Low,46.67446786642100
14,Female,Germany,4.610501808679460,YouTube,5,Socializing,42.784439105836500,0,6.717749588493540,Medium,26.55514961485610
24,Female,India,5.857314346086330,TikTok,3,Entertainment,29.027593133215700,1,6.052501818552460,High,62.53922529375890
17,Male,Germany,3.3293099528251500,YouTube,5,Entertainment,23.84511972864700,1,7.442299015120050,Medium,42.941610049870700
13,Female,India,1.9295888064331600,Snapchat,4,Socializing,30.90001961343250,1,9.586553878536800,Low,32.19145303235870
24,Female,USA,3.9160868681700900,Instagram,4,Socializing,17.292648042372300,1,7.33031584483585,Medium,64.93647604454070
22,Male,USA,1.3294480809494300,YouTube,3,News,38.077830706864900,1,7.904058383325350,Low,58.328401832465400
18,Female,India,3.465842904475670,Twitter,2,Socializing,23.230402893559000,1,9.069632038281180,Medium,9.555485695769380
25,Female,India,6.420077734761520,YouTube,3,Education,18.518522391031100,1,4.206716517508850,High,19.69534556711630
24,Male,India,2.7492338405226700,Instagram,3,Entertainment,37.99023117991950,1,8.870852903670000,Medium,52.76439413217740
21,Other,Brazil,5.19247627066907,TikTok,2,Entertainment,14.623629592622700,1,6.6455950114993600,High,40.80216011844370
13,Female,India,0.8683533781350870,Instagram,5,News,21.31450050748040,1,8.968320804684690,Low,64.17618258560110
23,Other,UK,4.964258965257080,Instagram,5,Content Creation,21.711533463050200,1,7.752390901311590,Medium,45.153506583395500
23,Male,UK,5.652472794529290,TikTok,2,News,23.614472158999800,0,5.375295810302370,High,47.84561395282680
27,Male,USA,2.939578369674070,Snapchat,1,Socializing,32.16667036844220,0,6.279911727434090,Medium,12.291671728944800
22,Female,Brazil,1.31457556446008,Instagram,5,Socializing,26.66189450792380,1,9.904731652303470,Low,42.47999434306940
24,Female,UK,5.72252361858893,TikTok,4,News,31.696754515003100,1,6.0889394542979100,High,22.201447762022000
24,Female,Canada,3.8653724172446500,Instagram,3,Education,13.020466499362500,0,5.229807490820630,Medium,33.438485454419900
27,Male,UK,4.6720934075062600,YouTube,1,Entertainment,27.310174189843000,0,7.07534936984102,Medium,55.761208470034200
26,Female,India,2.6235973353018600,Instagram,3,News,16.004623704631800,1,8.30577031835818,Medium,46.7221678977119
26,Female,Germany,6.492653477827630,Instagram,5,Entertainment,19.862674029416800,1,5.423016385858590,High,18.30497703907470
27,Male,Germany,3.2939598766967300,Snapchat,3,Education,34.956154482290200,0,6.644726593887750,Medium,16.042444919238900
26,Female,India,3.6506756130544200,Instagram,2,Entertainment,25.151599797763700,1,8.238180621270120,Medium,49.49855255020190
15,Male,India,3.2010178802570300,YouTube,5,Education,24.152286105711200,0,7.374142096870170,Medium,0.0
24,Male,Germany,0.5,Twitter,5,Socializing,27.23028451562530,1,10.0,Low,30.199564079081500
19,Female,Brazil,4.672998145122980,TikTok,2,Socializing,23.981520768246800,1,6.328905745029050,Medium,18.601468030089500
16,Male,Canada,4.241777098305200,TikTok,4,Education,26.863932412493400,0,6.811187172838800,Medium,4.322689588222840
21,Male,Canada,4.078170614149070,TikTok,4,Socializing,34.53034807803880,0,7.579700660640070,Medium,57.33128230573230
15,Female,India,4.724910996395920,Instagram,2,Socializing,33.236686149550700,1,4.77677000433002,Medium,32.82629993336460
17,Female,India,6.01724224796971,TikTok,5,Entertainment,15.318596949929600,1,5.086233926122140,High,14.488658479085500
15,Male,USA,2.8456913246557700,Instagram,1,Entertainment,23.342191027014400,1,7.182624812277660,Medium,44.58656657424900
19,Male,Australia,5.1605530589248500,Instagram,1,Socializing,23.981978007088100,1,5.598770354523530,High,46.99603456264270
17,Male,USA,4.176838666308610,Twitter,3,Education,39.26746503296120,0,6.407683805187810,Medium,51.39385508752840
21,Female,UK,3.7886617569792200,Twitter,3,Socializing,35.29466776591320,0,6.487423716854950,Medium,1.1626279609352200
19,Male,Australia,3.1094145540789400,Instagram,2,Socializing,24.92617628791150,0,8.799867265091480,Medium,33.30933847808220
14,Female,USA,3.490066110168630,TikTok,1,Education,18.035141171675000,1,7.913993681667170,Medium,55.48544568667770
16,Male,India,6.404592062792780,Snapchat,2,Entertainment,21.423605969292100,1,6.573127384546630,High,26.767354088247700
21,Other,India,4.32626184575617,TikTok,2,News,56.50542183054650,0,5.4447248954345600,Medium,26.08371524547340
24,Male,India,2.7676427272575800,YouTube,3,Socializing,25.132095399579300,1,7.63339529982904,Medium,54.017093090724400
26,Male,Brazil,5.533080943546410,YouTube,2,Education,20.057845860869000,0,6.218250785298960,High,9.387948453577730
14,Other,India,0.5,Snapchat,3,News,28.696661793149000,1,9.832281321535140,Low,23.612262769500200
22,Male,Germany,4.315482085109470,Snapchat,4,News,41.04990314562600,1,7.1757670271559000,Medium,43.037227412236500
21,Female,India,3.5524864412505700,Instagram,5,Education,35.57763647271050,1,6.193216551211990,Medium,6.2467341438902300
22,Male,Canada,5.469331077113910,Instagram,3,Entertainment,31.024604824749300,1,4.763120261649250,High,41.51050587399720
17,Female,India,2.0158494391995500,Snapchat,2,Entertainment,21.21655028835920,0,8.288790501440630,Low,85.41779023724300
14,Male,India,4.917275499701320,YouTube,2,Entertainment,45.20645320912300,1,6.171164891505070,Medium,73.78869766259890
16,Male,India,4.846354021831030,YouTube,2,Socializing,22.75870784009940,0,7.318031598663070,Medium,30.66981446638390
24,Male,USA,2.276632384056440,YouTube,5,Entertainment,29.18150143794590,1,8.37753095095204,Low,31.093856120454500
27,Female,India,1.740347992653490,Instagram,3,Entertainment,18.11080602168970,0,8.933352513476310,Low,60.48282979450510
24,Female,Canada,5.164350300944330,Instagram,5,Entertainment,22.991869843180800,1,6.032299294432060,High,22.185075090008000
19,Other,USA,2.326597083050800,Instagram,2,Entertainment,20.795023184475200,1,8.29012108285791,Low,42.23392825909900
24,Female,USA,4.551236962968090,TikTok,3,Content Creation,15.603292447626700,1,4.907529066971860,Medium,7.990499789476230
25,Male,India,3.205975423382390,YouTube,3,Socializing,15.04490708195450,1,7.596900291475990,Medium,31.89076778891980
20,Female,UK,3.0747610805531700,Snapchat,4,Entertainment,16.41791426827940,0,7.965904458013340,Medium,44.69973309333260
27,Male,Brazil,1.534665800174700,TikTok,3,Education,5.0,1,7.841561148705650,Low,27.401699364248200
15,Male,India,5.577580598396280,YouTube,3,Entertainment,29.36688199379170,1,6.424822370735780,High,40.117944224912400
26,Male,USA,2.6106831482482800,TikTok,2,Entertainment,5.0,1,8.827306026953800,Medium,42.149222356297900
13,Female,UK,6.083947808397240,Instagram,3,News,21.250676872946800,1,6.103200479655910,High,4.390302483903010
16,Female,USA,4.008622053149210,Instagram,2,Socializing,28.618731490550700,1,6.139239684098130,Medium,38.472228785063400
14,Male,UK,3.618901378396230,Twitter,2,News,8.424865571812820,0,7.2623409063741500,Medium,45.01197911304680
20,Female,Canada,1.696113603277560,Snapchat,1,Entertainment,14.498308513033500,0,8.021143470519820,Low,49.189407037101000
16,Male,India,3.6374443841601800,YouTube,1,Entertainment,36.08413783486480,0,7.569831374542570,Medium,44.81504492106800
14,Female,Australia,3.082702841037000,Twitter,4,Entertainment,20.998303935322600,0,9.044669205098610,Medium,20.47859908663570
26,Female,UK,3.513722355596250,Instagram,1,Socializing,39.29977077893790,0,5.5857217381009300,Medium,23.619156855033800
18,Male,Brazil,5.988181730983990,YouTube,5,News,14.573132807830500,1,5.701536411897970,High,43.311627517807600
18,Female,USA,3.345343890618400,Twitter,2,Socializing,36.12308383035240,0,8.215346430171950,Medium,20.6352721579917
22,Male,Canada,2.4987338885137700,Snapchat,2,Entertainment,35.846453827522300,0,10.0,Low,36.598083690434700
16,Female,Germany,1.8611970971643900,Twitter,2,Education,19.92787047783000,1,8.725709383284810,Low,47.336045558296000
18,Male,India,2.765513898330520,YouTube,4,Socializing,22.369565939409800,1,6.265034479887270,Medium,43.09633854387280
25,Female,UK,3.498749875358150,Snapchat,2,Socializing,33.607861715927600,0,6.750562076493310,Medium,38.8458482080398
27,Male,Brazil,3.1497771630699700,Snapchat,2,Socializing,35.31067859848930,1,7.447725983591660,Medium,39.95843426750770
14,Male,USA,3.2648878385096300,YouTube,3,Socializing,30.18458408091510,0,8.191300899845840,Medium,63.15352760446920
22,Male,UK,1.7800257913574900,Twitter,2,Socializing,19.427631141058100,1,8.801023578135970,Low,22.707687764533300
24,Female,USA,6.809840234567180,YouTube,4,Socializing,40.29160415179100,0,3.8084221221274400,High,14.216844180624800
14,Male,Brazil,3.234469199308570,Instagram,1,Socializing,17.809429214178000,0,7.4277182736354100,Medium,53.62529898086250
22,Female,India,3.8494988568685200,Instagram,4,Socializing,36.78167765614700,1,8.167323447980550,Medium,47.79947914727350
26,Other,USA,3.5792464034489200,YouTube,2,Content Creation,27.87111757774180,1,4.957756415562440,Medium,45.00490562590070
16,Female,USA,0.9961642933558430,TikTok,2,Socializing,19.97724472820620,1,9.613755209674080,Low,45.35297620947370
26,Female,Australia,2.337692700611840,YouTube,1,Education,30.33428110940680,1,7.019956633003060,Low,42.22940782664820
27,Male,Germany,4.840204479954120,TikTok,2,Entertainment,16.501376403747700,1,7.674655948457700,Medium,54.52471616173150
27,Female,India,3.10483295012261,YouTube,3,Entertainment,19.296502036294800,0,6.173547788795290,Medium,64.27027187427100
20,Male,India,0.6811913344814290,YouTube,3,News,30.660784665532500,0,9.327446094248410,Low,56.09423347995380
26,Female,India,4.804835835864310,TikTok,5,Education,19.929332480359500,1,5.02811622628092,Medium,27.822425404738300
19,Male,Brazil,3.7690687755606900,Twitter,2,Content Creation,19.648895905708800,1,6.691152021077260,Medium,58.416034098331000
24,Female,USA,1.2193200460271800,Instagram,4,Entertainment,42.18911244257140,1,7.789987365462610,Low,74.93635979273070
21,Male,India,5.442189590659730,Instagram,4,Content Creation,39.818221416442100,1,6.257881285746850,High,62.18143953256360
26,Male,USA,2.042694737229320,YouTube,5,Entertainment,25.322942383553100,1,8.385304004305680,Low,51.478246652086900
20,Female,Germany,3.943617641970980,YouTube,4,Socializing,19.48176551539970,1,6.824384666948060,Medium,78.89551424832080
17,Female,Germany,1.1520766378815300,YouTube,4,News,17.29591880367440,0,7.737960011596960,Low,31.864841857023600
25,Male,Germany,4.673236094752580,Snapchat,3,News,25.275241197225200,1,7.961433520159190,Medium,17.344914380789800
14,Male,UK,5.33277687282412,YouTube,5,Entertainment,39.072450258115200,1,4.940577377023310,High,22.715999095730300
27,Male,Germany,4.802578568981530,Instagram,2,Entertainment,25.5578283936484,1,7.535962475143450,Medium,76.9258671682116
17,Female,Germany,4.314792211627540,TikTok,2,Socializing,12.722029186035100,1,5.976745541060690,Medium,38.831873429711900
20,Female,Canada,4.029869070043490,Instagram,3,Entertainment,27.355424735546200,1,8.125031235606620,Medium,30.917536735083500
22,Female,India,6.068451416537440,TikTok,3,Entertainment,21.892954828499600,0,7.4292036024271500,High,58.7703077057546
21,Female,UK,2.549489269458040,Instagram,5,Content Creation,27.06123765570670,1,8.285198064430670,Medium,57.24042563654560
24,Female,USA,2.7824590782942500,Twitter,5,Entertainment,25.128295808087500,0,9.191036531401120,Medium,40.91792906563380
24,Female,UK,2.4295270273205100,TikTok,2,Entertainment,19.50163239142320,1,7.003912606140170,Low,74.6320093130364
24,Female,India,2.681786539383630,YouTube,5,Entertainment,50.6890476895838,1,7.957910240757720,Medium,107.38063405766000
25,Male,India,3.541448270161350,YouTube,5,News,35.62073576219380,1,6.80797937210297,Medium,63.33675556651340
21,Female,Brazil,1.9431805313520200,Instagram,2,Entertainment,5.0,1,8.618060345578120,Low,29.90078700849740
25,Male,UK,2.6955989836424000,Instagram,1,Socializing,21.225507023047600,1,6.964469476059990,Medium,13.274552452587400
27,Female,Australia,4.001336390176760,YouTube,4,Socializing,21.10483046185890,1,6.635844276301870,Medium,31.822573956524600
25,Female,UK,1.6329122015492400,Instagram,2,Entertainment,27.63769511455060,0,8.71711581128814,Low,20.028538074026800
13,Male,India,5.208383052062210,YouTube,3,Socializing,30.146262117692000,1,5.169806213898370,High,53.2209633012179
21,Male,UK,3.3500902457704800,YouTube,2,Socializing,33.874245992943900,1,7.755130583218550,Medium,32.91946130208030
19,Male,Brazil,2.7063582809385900,TikTok,1,Entertainment,19.585706291718200,1,6.243685705497990,Medium,13.751277339481200
21,Male,UK,3.270035972827770,Instagram,3,Entertainment,26.142837643395300,0,8.4135964535831,Medium,40.57771391457960
20,Male,India,3.7988205979620300,Instagram,4,Entertainment,19.053477801619700,1,4.536752472206980,Medium,7.76284187202338
13,Male,India,2.584247456485850,TikTok,3,Entertainment,28.177935326344300,0,9.282450802965370,Medium,26.19004397465690
24,Male,USA,7.113298123821540,Twitter,5,Education,23.198950223114700,1,2.984530572143810,High,47.836796196811400
20,Male,Brazil,4.25405076048183,Snapchat,5,Entertainment,22.815576776489900,0,6.873715215428120,Medium,20.29793714203070
20,Male,Australia,2.8067360288099700,YouTube,2,Education,30.085109226977800,1,6.890803535215150,Medium,32.85136151878890
27,Male,India,3.4869691435825200,Snapchat,2,Entertainment,18.245347364500600,1,7.695067905443550,Medium,23.66914985448850
23,Male,Australia,0.5662732602001810,TikTok,2,Socializing,32.359522790203900,1,9.67145905612259,Low,43.605825399780200
15,Female,Brazil,2.272079233260980,Instagram,4,Entertainment,31.904312906867700,1,7.976839406028330,Low,28.64704210380780
13,Female,USA,4.6830814524346600,Instagram,2,Entertainment,23.952708999231700,0,5.160415115126670,Medium,51.538388147531900
20,Male,India,3.314722005150460,Snapchat,2,Socializing,16.09231377227360,0,9.377074139855280,Medium,67.44422030463970
15,Male,UK,3.2157396908572000,YouTube,4,Entertainment,29.73377402564830,1,6.820563083019870,Medium,60.84953262817950
15,Male,USA,2.9719806894114100,Instagram,4,Socializing,7.656841037839880,1,8.593660706541210,Medium,6.798814501702000
13,Female,Brazil,3.3811279966900500,Instagram,5,Education,21.559373255810300,0,9.259996558685000,Medium,28.431956849982500
23,Male,USA,6.530670502293610,TikTok,4,Entertainment,32.35610942949470,1,5.436313185316280,High,100.03315670974600
17,Female,USA,6.3713144141012500,TikTok,2,Entertainment,41.22708501031050,1,5.372500815400420,High,58.59527320885770
22,Male,India,2.875251347199280,Instagram,1,News,26.07197652562850,0,9.239294781342470,Medium,19.109400773187800
19,Male,USA,4.699357254551070,Instagram,3,Socializing,30.39009748347580,1,6.074884621804990,Medium,20.2501157106142
22,Male,India,2.8219844032340200,Instagram,5,Entertainment,16.421220281069300,1,8.231822166021980,Medium,33.748713340609400
21,Female,India,5.656200958976700,Instagram,5,Education,37.51893376892360,1,4.547810896041170,High,54.715500562488500
24,Female,Brazil,5.548199561832840,TikTok,2,Entertainment,42.48617068509710,1,4.999110996639760,High,24.613569775416100
19,Male,Canada,1.4961956007406800,TikTok,1,Education,12.416160975803600,1,8.649448886863640,Low,34.043287826375000
21,Male,USA,4.732820717115900,TikTok,1,Entertainment,21.20716878387630,0,5.8287416636679200,Medium,39.44069201964480
20,Male,Brazil,2.751495141676810,YouTube,4,Entertainment,39.96766971162850,1,7.964057384222850,Medium,71.37895648071420
24,Male,India,3.9560759493757500,Snapchat,5,Entertainment,19.877038603150800,1,5.869019136088050,Medium,26.060034852254600
14,Male,UK,1.153323820538810,TikTok,1,News,24.202624520544300,1,9.260323345696610,Low,58.53398084966150
13,Male,India,3.1354812539993700,Snapchat,1,Socializing,16.436154416745200,0,6.662155056176580,Medium,17.62692387248940
19,Female,USA,1.8184766596021400,Instagram,5,News,51.302925826971400,1,9.327690583233890,Low,45.911638337987500
19,Female,Canada,3.590268035466510,TikTok,2,Education,16.770103935133300,0,5.283062190141490,Medium,42.40818335878280
26,Female,USA,2.479510457872360,Instagram,5,Entertainment,15.746446659440500,0,7.313862635732010,Low,37.45181471604470
